HGNC ID gene,Approved symbol,Approved name,Previous symbols,Aliases,Chromosome,Group
HGNC:20583,CYP4Z1,cytochrome P450 family 4 subfamily Z member 1,,,1p33,Cytochrome P450 family 4
HGNC:24426,CYP4Z2P,"cytochrome P450 family 4 subfamily Z member 2, pseudogene",,,1p33,Cytochrome P450 family 4
HGNC:11609,TBXAS1,thromboxane A synthase 1,,,7q34,Cytochrome P450 family 5
HGNC:2651,CYP7A1,cytochrome P450 family 7 subfamily A member 1,CYP7,,8q12.1,Cytochrome P450 family 7
HGNC:2652,CYP7B1,cytochrome P450 family 7 subfamily B member 1,SPG5A,,8q12.3,Cytochrome P450 family 7
HGNC:9603,PTGIS,prostaglandin I2 synthase,,,20q13.13,Cytochrome P450 family 8
HGNC:2653,CYP8B1,cytochrome P450 family 8 subfamily B member 1,,,3p22.1,Cytochrome P450 family 8
HGNC:2590,CYP11A1,cytochrome P450 family 11 subfamily A member 1,CYP11A,,15q24.1,Cytochrome P450 family 11
HGNC:2591,CYP11B1,cytochrome P450 family 11 subfamily B member 1,CYP11B,,8q24.3,Cytochrome P450 family 11
HGNC:2592,CYP11B2,cytochrome P450 family 11 subfamily B member 2,CYP11B,,8q24.3,Cytochrome P450 family 11
HGNC:2593,CYP17A1,cytochrome P450 family 17 subfamily A member 1,CYP17,,10q24.32,Cytochrome P450 family 17
HGNC:2594,CYP19A1,cytochrome P450 family 19 subfamily A member 1,CYP19,,15q21.2,Cytochrome P450 family 19
HGNC:20576,CYP20A1,cytochrome P450 family 20 subfamily A member 1,,,2q33.2,Cytochrome P450 family 20
HGNC:2599,CYP21A1P,"cytochrome P450 family 21 subfamily A member 1, pseudogene","CYP21P,CYP21A",,6p21.33,Cytochrome P450 family 21
HGNC:2600,CYP21A2,cytochrome P450 family 21 subfamily A member 2,"CYP21,CYP21B",,6p21.33,Cytochrome P450 family 21
HGNC:2602,CYP24A1,cytochrome P450 family 24 subfamily A member 1,CYP24,,20q13.2,Cytochrome P450 family 24
HGNC:2603,CYP26A1,cytochrome P450 family 26 subfamily A member 1,,,10q23.33,Cytochrome P450 family 26
HGNC:20581,CYP26B1,cytochrome P450 family 26 subfamily B member 1,,,2p13.2,Cytochrome P450 family 26
HGNC:20577,CYP26C1,cytochrome P450 family 26 subfamily C member 1,,,10q23.33,Cytochrome P450 family 26
HGNC:2605,CYP27A1,cytochrome P450 family 27 subfamily A member 1,CYP27,,2q35,Cytochrome P450 family 27
HGNC:2606,CYP27B1,cytochrome P450 family 27 subfamily B member 1,"VDD1,PDDR",,12q14.1,Cytochrome P450 family 27
HGNC:33480,CYP27C1,cytochrome P450 family 27 subfamily C member 1,,,2q14.3,Cytochrome P450 family 27
HGNC:17449,CYP39A1,cytochrome P450 family 39 subfamily A member 1,,,6p12.3,Cytochrome P450 family 39
HGNC:2641,CYP46A1,cytochrome P450 family 46 subfamily A member 1,CYP46,,14q32.2,Cytochrome P450 family 46
HGNC:42349,CYP46A4P,"cytochrome P450 family 46 subfamily A member 4, pseudogene",,,1p33,Cytochrome P450 family 46
HGNC:2649,CYP51A1,cytochrome P450 family 51 subfamily A member 1,CYP51,,7q21.2,Cytochrome P450 family 51
HGNC:20245,CYP51A1P1,cytochrome P450 family 51 subfamily A member 1 pseudogene 1,CYP51P1,,3p12.2,Cytochrome P450 family 51
HGNC:20251,CYP51A1P2,cytochrome P450 family 51 subfamily A member 1 pseudogene 2,CYP51P2,,13q12.3,Cytochrome P450 family 51
HGNC:41991,CYP51A1P3,cytochrome P450 family 51 subfamily A member 1 pseudogene 3,CYP51P3,,6q24.3,Cytochrome P450 family 51
