HGNC ID gene,Approved symbol,Approved name,Previous symbols,Aliases,Chromosome
HGNC:21524,DHRS7,dehydrogenase/reductase 7,,"retDSR4,SDR34C1",14q23.1
HGNC:4021,KDSR,3-ketodihydrosphingosine reductase,FVT1,"DHSR,SDR35C1",18q21.33
HGNC:5154,HPGD,15-hydroxyprostaglandin dehydrogenase,,SDR36C1,4q34.1
HGNC:5215,HSD17B7,hydroxysteroid 17-beta dehydrogenase 7,,"PRAP,SDR37C1",1q23.3
HGNC:11257,SPR,sepiapterin reductase,,SDR38C1,2p13.2
HGNC:20275,SDR39U1,short chain dehydrogenase/reductase family 39U member 1,C14orf124,HCDI,14q12
HGNC:25832,DHRS12,dehydrogenase/reductase 12,,"FLJ13639,SDR40C1",13q14.3
HGNC:12799,WWOX,WW domain containing oxidoreductase,,"FOR,WOX1,SDR41C1",16q23.1-q23.2
HGNC:29834,SDR42E1,"short chain dehydrogenase/reductase family 42E, member 1",,HSPC105,16q23.3
HGNC:35414,SDR42E2,"short chain dehydrogenase/reductase family 42E, member 2",,,16p12.1
HGNC:1063,BLVRB,biliverdin reductase B,FLR,SDR43U1,19q13.2
HGNC:16637,HTATIP2,HIV-1 Tat interactive protein 2,,"TIP30,CC3,FLJ26963,SDR44U1",11p15.1
HGNC:25891,CBR4,carbonyl reductase 4,,"FLJ14431,SDR45C1",4q32.3
HGNC:23238,HSD17B14,hydroxysteroid 17-beta dehydrogenase 14,DHRS10,"retSDR3,SDR47C1",19q13.33
HGNC:24987,NMRAL1,NmrA like redox sensor 1,,"FLJ25918,HSCARG,SDR48A1",16p13.3
